transaction_id,amount,payment_method,bank_response_code,network_latency_ms,fraud_score,prior_failed_attempts_24h,customer_tenure_days,account_balance_signal,hour_of_day,is_recurring_subscription,true_failure_cause
TXN100000,1087.01,credit_card,51,192.8,0.16,2,80,0.216,9,0,insufficient_funds
TXN100001,3407.81,credit_card,59,191.8,0.698,0,12,0.602,14,1,fraud_false_positive
TXN100002,1235.11,wallet,91,380.0,0.083,0,923,0.275,20,0,bank_timeout
TXN100003,436.09,credit_card,51,193.7,0.028,1,178,0.323,22,1,insufficient_funds
TXN100004,2942.96,netbanking,96,254.7,0.277,0,21,0.609,16,0,network_error
TXN100005,705.08,debit_card,91,468.2,0.132,2,1026,0.294,0,0,bank_timeout
TXN100006,1713.36,credit_card,96,395.6,0.071,0,92,0.782,11,0,network_error
TXN100007,3888.4,upi,91,358.2,0.141,0,2122,0.404,23,0,bank_timeout
TXN100008,7095.18,debit_card,5,177.9,0.677,0,1118,0.803,6,1,fraud_false_positive
TXN100009,2415.43,netbanking,51,212.5,0.042,0,910,0.044,23,0,insufficient_funds
TXN100010,6649.74,upi,59,255.1,0.808,1,16,0.538,0,0,fraud_false_positive
TXN100011,478.17,credit_card,68,407.6,0.293,1,998,0.722,11,1,bank_timeout
TXN100012,3486.26,wallet,5,235.7,0.78,0,438,0.519,2,0,fraud_false_positive
TXN100013,3137.31,netbanking,61,134.3,0.241,4,278,0.222,22,0,insufficient_funds
TXN100014,5489.74,netbanking,91,295.9,0.112,0,198,0.337,19,0,bank_timeout
TXN100015,1378.87,wallet,21,441.7,0.126,1,1234,0.319,0,1,network_error
TXN100016,5563.55,debit_card,96,623.9,0.399,0,21,0.461,6,0,network_error
TXN100017,1181.07,netbanking,68,361.1,0.144,3,506,0.452,10,1,bank_timeout
TXN100018,3701.49,debit_card,51,155.1,0.09,4,78,0.281,6,0,insufficient_funds
TXN100019,917.69,debit_card,63,218.2,0.856,0,318,0.729,15,0,fraud_false_positive
TXN100020,6761.43,upi,61,132.1,0.107,2,62,0.213,9,0,insufficient_funds
TXN100021,4311.45,debit_card,59,141.2,0.782,0,591,0.871,12,0,fraud_false_positive
TXN100022,2118.97,wallet,96,283.8,0.148,0,1651,0.527,17,0,bank_timeout
TXN100023,1360.73,credit_card,65,241.0,0.099,1,104,0.215,8,0,insufficient_funds
TXN100024,679.56,debit_card,5,559.0,0.033,0,13,0.693,21,1,network_error
TXN100025,1965.23,netbanking,96,311.2,0.157,0,138,0.518,7,0,bank_timeout
TXN100026,3840.38,credit_card,61,150.1,0.32,2,12,0.216,1,0,insufficient_funds
TXN100027,558.26,debit_card,91,186.9,0.361,2,1306,0.264,12,0,bank_timeout
TXN100028,2374.63,netbanking,96,185.0,0.457,0,1037,0.557,17,0,bank_timeout
TXN100029,749.14,credit_card,51,172.3,0.165,0,827,0.412,23,0,insufficient_funds
TXN100030,981.62,debit_card,91,174.6,0.366,0,57,0.915,9,0,bank_timeout
TXN100031,1589.16,debit_card,96,395.0,0.021,0,667,0.569,19,0,network_error
TXN100032,434.64,credit_card,91,395.0,0.131,0,1135,0.621,1,0,bank_timeout
TXN100033,13060.97,credit_card,63,196.3,0.282,1,200,0.486,10,1,fraud_false_positive
TXN100034,508.51,credit_card,51,229.7,0.05,0,1,0.307,4,1,insufficient_funds
TXN100035,5482.99,upi,59,169.8,0.766,0,1427,0.694,3,0,fraud_false_positive
TXN100036,1100.15,debit_card,68,502.6,0.151,0,248,0.39,2,0,bank_timeout
TXN100037,3857.35,debit_card,51,163.4,0.186,0,545,0.277,5,0,insufficient_funds
TXN100038,11896.09,credit_card,51,142.7,0.092,3,103,0.426,17,0,insufficient_funds
TXN100039,689.02,wallet,65,251.3,0.31,1,533,0.301,13,0,insufficient_funds
