transaction_id,amount,true_failure_cause,predicted_failure_cause,ai_action,ai_recovered,baseline_action,baseline_recovered
TXN100000,1087.01,insufficient_funds,insufficient_funds,retry_72h,True,retry_24h,False
TXN100001,3407.81,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,True,retry_24h,False
TXN100002,1235.11,bank_timeout,bank_timeout,retry_2h,False,retry_24h,False
TXN100003,436.09,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,True
TXN100004,2942.96,network_error,bank_timeout,retry_2h,True,retry_24h,False
TXN100005,705.08,bank_timeout,bank_timeout,suggest_alt_payment_method,False,retry_24h,False
TXN100006,1713.36,network_error,network_error,retry_immediate,True,retry_24h,True
TXN100007,3888.4,bank_timeout,bank_timeout,retry_2h,True,retry_24h,False
TXN100008,7095.18,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,True,retry_24h,False
TXN100009,2415.43,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,True
TXN100010,6649.74,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,False,retry_24h,False
TXN100011,478.17,bank_timeout,bank_timeout,retry_2h,True,retry_24h,False
TXN100012,3486.26,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,False,retry_24h,True
TXN100013,3137.31,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100014,5489.74,bank_timeout,bank_timeout,retry_2h,False,retry_24h,False
TXN100015,1378.87,network_error,network_error,retry_immediate,True,retry_24h,False
TXN100016,5563.55,network_error,network_error,retry_immediate,True,retry_24h,False
TXN100017,1181.07,bank_timeout,bank_timeout,retry_24h,True,retry_24h,False
TXN100018,3701.49,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100019,917.69,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,False,retry_24h,False
TXN100020,6761.43,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100021,4311.45,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,False,retry_24h,False
TXN100022,2118.97,bank_timeout,bank_timeout,retry_2h,True,retry_24h,False
TXN100023,1360.73,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100024,679.56,network_error,network_error,retry_immediate,True,retry_24h,False
TXN100025,1965.23,bank_timeout,bank_timeout,retry_2h,True,retry_24h,True
TXN100026,3840.38,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100027,558.26,bank_timeout,bank_timeout,suggest_alt_payment_method,False,retry_24h,True
TXN100028,2374.63,bank_timeout,bank_timeout,retry_2h,True,retry_24h,False
TXN100029,749.14,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100030,981.62,bank_timeout,bank_timeout,retry_2h,False,retry_24h,False
TXN100031,1589.16,network_error,network_error,retry_immediate,True,retry_24h,True
TXN100032,434.64,bank_timeout,bank_timeout,retry_2h,True,retry_24h,True
TXN100033,13060.97,fraud_false_positive,insufficient_funds,retry_72h,False,retry_24h,False
TXN100034,508.51,insufficient_funds,insufficient_funds,retry_72h,False,retry_24h,False
TXN100035,5482.99,fraud_false_positive,fraud_false_positive,suggest_alt_payment_method,False,retry_24h,True
TXN100036,1100.15,bank_timeout,bank_timeout,retry_2h,True,retry_24h,False
